county_fips,year_sk,live_births,infant_deaths,imr_per_1000,neonatal_deaths,postneonatal_deaths
28000,2020,35283,293.0,8.3,171.0,122.0
28000,2021,35161,327.0,9.3,179.0,148.0
28000,2022,34674,319.0,9.2,186.0,133.0
28000,2023,34270,305.0,8.9,179.0,126.0
28000,2024,33299,323.0,9.7,198.0,125.0
28049,2024,2700,25.0,9.2,17.0,8.0
28047,2024,2400,18.0,7.4,12.0,6.0
28033,2024,2240,20.0,9.0,14.0,6.0
28121,2024,1860,13.0,6.8,9.0,4.0
28059,2024,1640,11.0,6.5,8.0,3.0
28089,2024,1390,9.0,6.6,6.0,3.0
28081,2024,1090,9.0,8.2,6.0,3.0
28035,2024,920,9.0,9.8,6.0,3.0
28067,2024,920,9.0,10.0,5.0,4.0
28075,2024,890,9.0,9.9,6.0,3.0
28087,2024,750,5.0,6.7,3.0,2.0
28073,2024,660,4.0,5.4,3.0,1.0
28109,2024,650,5.0,7.4,3.0,2.0
28151,2024,580,10.0,16.7,7.0,3.0
28105,2024,540,4.0,6.7,3.0,1.0
28071,2024,500,5.0,11.4,4.0,1.0
28149,2024,500,5.0,10.9,3.0,2.0
28113,2024,470,6.0,12.9,4.0,2.0
28045,2024,470,3.0,6.2,2.0,1.0
28003,2024,440,3.0,7.1,2.0,1.0
28093,2024,420,3.0,8.1,2.0,1.0
28011,2024,420,5.0,13.0,3.0,2.0
28107,2024,420,5.0,11.4,4.0,1.0
28085,2024,400,3.0,8.4,2.0,1.0
28123,2024,400,4.0,10.0,3.0,1.0
28115,2024,400,3.0,6.9,2.0,1.0
28095,2024,400,3.0,7.6,2.0,1.0
28099,2024,390,3.0,6.4,2.0,1.0
28145,2024,360,,,,
28163,2024,360,4.0,12.1,3.0,1.0
28137,2024,330,4.0,10.7,3.0,1.0
28029,2024,330,3.0,9.3,2.0,1.0
28083,2024,330,4.0,12.2,3.0,1.0
28127,2024,310,3.0,9.7,2.0,1.0
28133,2024,310,4.0,13.3,3.0,1.0
28027,2024,300,4.0,13.0,3.0,1.0
28117,2024,300,3.0,9.2,2.0,1.0
28079,2024,290,4.0,13.5,3.0,1.0
28091,2024,290,4.0,12.5,3.0,1.0
28039,2024,290,2.0,6.3,1.0,1.0
28043,2024,260,2.0,6.9,1.0,1.0
28139,2024,260,2.0,8.3,1.0,1.0
28057,2024,260,2.0,6.1,1.0,1.0
28051,2024,250,4.0,14.6,3.0,1.0
28001,2024,250,2.0,6.6,1.0,1.0
28153,2024,250,2.0,8.3,1.0,1.0
28101,2024,250,4.0,14.0,3.0,1.0
28031,2024,240,2.0,8.3,1.0,1.0
28025,2024,230,,,,
28159,2024,210,2.0,11.1,1.0,1.0
28141,2024,200,1.0,6.6,1.0,0.0
28007,2024,200,2.0,11.1,1.0,1.0
28131,2024,200,2.0,7.2,1.0,1.0
28061,2024,200,2.0,12.4,1.0,1.0
28017,2024,200,2.0,11.8,1.0,1.0
28129,2024,180,,,,
28077,2024,170,2.0,9.9,1.0,1.0
28023,2024,170,2.0,9.6,1.0,1.0
28161,2024,150,,,,
28065,2024,150,2.0,10.6,1.0,1.0
28147,2024,150,1.0,7.6,1.0,0.0
28013,2024,150,1.0,9.3,1.0,0.0
28041,2024,150,,,,
28135,2024,150,1.0,7.2,1.0,0.0
28103,2024,140,,,,
28143,2024,140,2.0,13.1,1.0,1.0
28111,2024,140,,,,
28053,2024,130,,,,
28005,2024,120,,,,
28097,2024,110,1.0,11.4,1.0,0.0
28021,2024,100,1.0,15.4,1.0,0.0
28037,2024,100,1.0,9.7,1.0,0.0
28119,2024,100,1.0,7.7,1.0,0.0
28069,2024,100,,,,
28155,2024,100,,,,
28157,2024,100,1.0,7.6,1.0,0.0
28019,2024,100,1.0,10.9,1.0,0.0
28015,2024,100,1.0,12.7,1.0,0.0
28063,2024,90,1.0,14.5,1.0,0.0
28009,2024,90,1.0,10.5,1.0,0.0
28125,2024,55,1.0,17.6,1.0,0.0
28055,2024,15,,,,
